WARNING: DNS features are limited due to lack of DNSPython library
*original      google.com             216.58.196.78
addition       googlem.com            107.161.23.204
addition       googlew.com            107.161.23.204
addition       googleh.com            109.234.111.119
addition       googlee.com            142.250.183.164
addition       google4.com            185.53.177.54
addition       googleq.com            185.53.178.53
addition       googlec.com            3.64.163.50
addition       googlek.com            3.64.163.50
addition       googlei.com            37.48.65.154
addition       googleb.com            47.254.33.193
addition       google6.com            69.162.80.58
addition       google0.com            72.52.179.174
addition       googlez.com            76.223.54.146
addition       googley.com            85.233.160.215
addition       google5.com            99.83.176.46
addition       google9.com            99.83.176.46
addition       google1.com            -
addition       google2.com            -
addition       google3.com            -
addition       google7.com            -
addition       google8.com            -
addition       googlea.com            -
addition       googled.com            -
addition       googlef.com            -
addition       googleg.com            -
addition       googlej.com            -
addition       googlel.com            -
addition       googlen.com            -
addition       googleo.com            -
addition       googlep.com            -
addition       googler.com            -
addition       googles.com            -
addition       googlet.com            -
addition       googleu.com            -
addition       googlev.com            -
addition       googlex.com            -
bitsquatting   googlm.com             123.1.194.3
bitsquatting   goowle.com             172.93.103.101
bitsquatting   googhe.com             199.59.243.225
bitsquatting   googme.com             199.59.243.225
bitsquatting   foogle.com             64.111.126.107
bitsquatting   woogle.com             64.98.135.11
bitsquatting   goofle.com             69.162.95.3
bitsquatting   coogle.com             -
bitsquatting   eoogle.com             -
bitsquatting   ggogle.com             -
bitsquatting   gkogle.com             -
bitsquatting   gmogle.com             -
bitsquatting   gnogle.com             -
bitsquatting   goggle.com             -
bitsquatting   gokgle.com             -
bitsquatting   gomgle.com             -
bitsquatting   gongle.com             -
bitsquatting   goocle.com             -
bitsquatting   gooele.com             -
bitsquatting   googde.com             -
bitsquatting   googla.com             -
bitsquatting   googld.com             -
bitsquatting   googlg.com             -
bitsquatting   googlu.com             -
bitsquatting   googne.com             -
bitsquatting   gooole.com             -
bitsquatting   ooogle.com             -
cyrillic       xn--e1ara49ctjc.com    -
homoglyph      xn--ggl-mra11la.com    104.21.2.172
homoglyph      xn--gole-lgb32b.com    104.21.35.168
homoglyph      q00gle.com             104.21.57.19
homoglyph      xn--oole-9pbc.com      104.21.58.49
homoglyph      xn--goog-yva1x.com     104.21.62.9
homoglyph      xn--oole-z7bc.com      107.180.21.235
homoglyph      q0ogle.com             108.186.208.49
homoglyph      xn--ggle-qqaf.com      109.66.14.53
homoglyph      xn--gogle-g9a.com      137.184.222.115
homoglyph      goog1c.com             146.70.149.138
homoglyph      g0og1e.com             15.197.148.33
homoglyph      qoogie.com             15.197.148.33
homoglyph      xn--ggie-gx5aa.com     15.197.148.33
homoglyph      xn--ggl-dma6ea.com     15.197.148.33
homoglyph      xn--ggl-hma1ca.com     15.197.148.33
homoglyph      xn--ggle-graa.com      15.197.148.33
homoglyph      xn--ggle-v0ba.com      15.197.148.33
homoglyph      xn--ggle-vqaf.com      15.197.148.33
homoglyph      xn--ggle-vqal.com      15.197.148.33
homoglyph      xn--gogle-h9a.com      15.197.148.33
homoglyph      xn--gogle-jua.com      15.197.148.33
homoglyph      xn--googl-fsa.com      162.210.196.166
homoglyph      xn--oogl-yva9c.com     162.255.119.228
homoglyph      go0gie.com             172.120.150.26
homoglyph      xn--googe-m6a.com      18.116.49.127
homoglyph      xn--ggle-lqaa.com      185.53.177.50
homoglyph      xn--googl-b0a.com      185.53.178.53
homoglyph      qoog1e.com             185.92.223.114
homoglyph      xn--gooe-21a19g.com    192.241.130.219
homoglyph      xn--gool-yva84j.com    192.241.130.219
homoglyph      xn--ooge-21a88g.com    192.241.130.219
homoglyph      xn--oogl-yva54j.com    192.241.130.219
homoglyph      xn--oole-cxa78i.com    192.241.130.219
homoglyph      xn--goqle-6dc.com      192.64.119.21
homoglyph      go0g1e.com             192.64.119.3
homoglyph      q00qle.com             194.58.112.174
homoglyph      xn--googl-mza.com      198.251.89.144
homoglyph      xn--ggl-8la6ca.com     199.59.243.225
